,0,85,86,87,88,89,90,1020,1023,1030,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1703,1704,1705,1706,1707,1708,1709,1710,1711,1886,1887,1888,1889
Characteristic,Neighbourhood Number,  2 persons,  3 persons,  4 persons,  5 or more persons,  Couples without children,Total number of census families in private households,    Total - Income statistics in 2015 for one-person private households - 100% data,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,    Total - Income statistics in 2015 for one-person private households - 25% sample data,"  $5,000 to $9,999","  $10,000 to $14,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 and over","    $200,000 and over",Total - Household after-tax income groups in 2015 for private households - 100% data,"  No certificate, diploma or degree-NO EDU",  Secondary (high) school diploma or equivalency certificate- HIGH SCHOOL EDU,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification- TRADE CERTIF,      Certificate of Apprenticeship or Certificate of Qualification,"    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,"    University certificate, diploma or degree at bachelor level or above",      Bachelor's degree,      University certificate or diploma above bachelor level,    Employed,    Unemployed,Participation rate,Employment rate
City of Toronto,,344110.0,174600.0,143250.0,56795.0,250085.0,718755.0,359955.0,752970.0,359990.0,23455.0,36550.0,47315.0,47500.0,46945.0,47115.0,46285.0,44650.0,84180.0,76120.0,68190.0,60400.0,53485.0,343520.0,96600.0,1112930.0,377340.0,561090.0,53060.0,40945.0,362080.0,65015.0,835260.0,534610.0,54570.0,1361375.0,122305.0,64.7,59.3
Agincourt North,129.0,3570.0,2390.0,1875.0,605.0,2520.0,8425.0,1345.0,7770.0,1360.0,105.0,160.0,320.0,540.0,420.0,455.0,420.0,435.0,800.0,700.0,635.0,525.0,515.0,2505.0,325.0,9115.0,6550.0,7460.0,505.0,375.0,3540.0,775.0,5805.0,4380.0,295.0,12510.0,1360.0,55.4,50.0
Agincourt South-Malvern West,128.0,2970.0,1835.0,1325.0,520.0,2095.0,6640.0,1620.0,6515.0,1615.0,140.0,195.0,315.0,400.0,370.0,385.0,370.0,415.0,770.0,645.0,595.0,510.0,405.0,2030.0,285.0,8140.0,4035.0,6090.0,375.0,325.0,3150.0,655.0,5765.0,4210.0,280.0,10855.0,1185.0,59.0,53.2
Alderwood,20.0,1605.0,900.0,755.0,220.0,1175.0,3490.0,1105.0,3510.0,1115.0,45.0,80.0,145.0,150.0,155.0,170.0,160.0,165.0,335.0,300.0,320.0,275.0,250.0,1915.0,360.0,4620.0,2005.0,2960.0,345.0,345.0,2095.0,230.0,2290.0,1660.0,125.0,6405.0,415.0,66.5,62.4
Annex,95.0,4475.0,1195.0,805.0,215.0,3830.0,6700.0,7885.0,8045.0,7895.0,485.0,655.0,620.0,530.0,525.0,555.0,540.0,505.0,1000.0,900.0,795.0,715.0,605.0,5895.0,2670.0,15940.0,1585.0,4270.0,265.0,265.0,2700.0,615.0,16590.0,9135.0,960.0,17305.0,1250.0,70.6,65.8
Banbury-Don Mills,42.0,3925.0,1760.0,1500.0,435.0,3015.0,7605.0,4360.0,7770.0,4370.0,155.0,235.0,395.0,445.0,405.0,470.0,460.0,400.0,930.0,885.0,780.0,655.0,605.0,4615.0,1750.0,12125.0,2295.0,5150.0,450.0,345.0,3490.0,795.0,10850.0,6500.0,800.0,13010.0,1010.0,59.9,55.6
Bathurst Manor,34.0,1945.0,1115.0,925.0,320.0,1385.0,4310.0,1660.0,4430.0,1660.0,85.0,155.0,245.0,230.0,220.0,255.0,240.0,245.0,400.0,430.0,390.0,310.0,300.0,2025.0,515.0,6090.0,1665.0,3390.0,345.0,255.0,2125.0,485.0,4980.0,3075.0,475.0,8000.0,620.0,65.0,60.3
Bay Street Corridor,76.0,3550.0,965.0,485.0,105.0,2950.0,5110.0,7610.0,7465.0,7620.0,735.0,740.0,580.0,560.0,490.0,515.0,440.0,410.0,850.0,840.0,815.0,705.0,570.0,3600.0,1105.0,15070.0,700.0,5740.0,155.0,100.0,1595.0,545.0,15090.0,8370.0,680.0,13455.0,1535.0,62.7,56.2
Bayview Village,52.0,3255.0,1570.0,980.0,255.0,2570.0,6070.0,3200.0,6330.0,3190.0,260.0,290.0,365.0,370.0,360.0,330.0,350.0,335.0,650.0,655.0,615.0,520.0,495.0,3010.0,855.0,9525.0,1310.0,3680.0,215.0,145.0,2905.0,700.0,9790.0,6055.0,515.0,10965.0,910.0,63.4,58.5
Bayview Woods-Steeles,49.0,1790.0,1005.0,790.0,210.0,1375.0,3795.0,975.0,3725.0,980.0,70.0,80.0,200.0,170.0,205.0,180.0,200.0,165.0,330.0,290.0,265.0,255.0,250.0,1830.0,580.0,4700.0,1295.0,2385.0,255.0,155.0,1595.0,355.0,5120.0,3060.0,410.0,5720.0,495.0,55.7,51.3
Bedford Park-Nortown,39.0,2425.0,1190.0,1565.0,885.0,1975.0,6085.0,2380.0,6220.0,2400.0,85.0,150.0,230.0,215.0,230.0,215.0,225.0,240.0,440.0,395.0,390.0,360.0,275.0,4745.0,2915.0,8605.0,1985.0,3815.0,310.0,215.0,2135.0,465.0,9625.0,5655.0,725.0,11185.0,650.0,63.8,60.3
Beechborough-Greenbrook,112.0,830.0,490.0,300.0,135.0,420.0,1750.0,865.0,1790.0,860.0,60.0,160.0,185.0,170.0,190.0,170.0,155.0,125.0,205.0,200.0,160.0,110.0,105.0,430.0,60.0,2650.0,1605.0,1515.0,195.0,280.0,890.0,160.0,610.0,445.0,75.0,2765.0,355.0,59.5,52.7
Bendale,127.0,3610.0,1915.0,1460.0,885.0,2600.0,7875.0,2800.0,7960.0,2815.0,220.0,255.0,370.0,475.0,465.0,520.0,495.0,530.0,935.0,845.0,765.0,615.0,575.0,2625.0,275.0,10765.0,4750.0,7605.0,590.0,425.0,4255.0,695.0,6295.0,4550.0,425.0,13020.0,1255.0,58.0,52.9
Birchcliffe-Cliffside,122.0,2940.0,1430.0,1330.0,365.0,2080.0,6070.0,2960.0,6230.0,2965.0,290.0,320.0,405.0,330.0,315.0,340.0,330.0,310.0,650.0,595.0,525.0,475.0,465.0,3345.0,930.0,9190.0,2930.0,5245.0,435.0,470.0,3610.0,485.0,5170.0,3470.0,365.0,10945.0,1055.0,65.4,59.6
Black Creek,24.0,2220.0,1455.0,1160.0,810.0,1065.0,5655.0,1670.0,5670.0,1660.0,170.0,315.0,440.0,480.0,485.0,445.0,460.0,430.0,750.0,565.0,475.0,360.0,305.0,900.0,40.0,7320.0,6420.0,5195.0,535.0,545.0,2360.0,340.0,1565.0,1235.0,90.0,8115.0,1180.0,54.8,47.8
Blake-Jones,69.0,1005.0,505.0,405.0,180.0,695.0,2095.0,965.0,2160.0,960.0,90.0,145.0,135.0,140.0,130.0,115.0,115.0,100.0,165.0,165.0,140.0,120.0,115.0,1105.0,320.0,3125.0,1175.0,1345.0,150.0,135.0,920.0,125.0,2435.0,1550.0,160.0,3740.0,345.0,65.0,59.6
Briar Hill-Belgravia,108.0,1840.0,1095.0,770.0,220.0,1195.0,3905.0,1725.0,4020.0,1725.0,135.0,190.0,280.0,265.0,250.0,295.0,285.0,240.0,470.0,430.0,415.0,370.0,315.0,1375.0,165.0,5745.0,2545.0,3080.0,415.0,270.0,2170.0,455.0,3405.0,2360.0,300.0,7635.0,725.0,67.6,61.8
Bridle Path-Sunnybrook-York Mills,41.0,1085.0,565.0,620.0,365.0,940.0,2640.0,630.0,2615.0,605.0,25.0,35.0,30.0,45.0,40.0,45.0,30.0,30.0,100.0,95.0,75.0,95.0,105.0,2370.0,1705.0,3240.0,615.0,1500.0,80.0,30.0,510.0,220.0,4795.0,2585.0,405.0,4155.0,360.0,58.3,53.6
Broadview North,57.0,1625.0,710.0,475.0,130.0,1190.0,2940.0,2445.0,3220.0,2435.0,110.0,200.0,290.0,345.0,335.0,305.0,310.0,270.0,540.0,400.0,320.0,280.0,225.0,1230.0,320.0,5665.0,1665.0,2295.0,310.0,175.0,1705.0,225.0,3510.0,2215.0,240.0,6035.0,540.0,66.5,61.1
