,Unnamed: 0,0,85,86,87,88,1886,1887,"Under $50,000","$50,000 - $100,000","$100,000 and over","$200,000 and over",Post Secondary Degree,Bachelor level or above,NO EDU,Secondary school or equivalent,Trades certificate
0,Characteristic,Neighbourhood Number,  2 persons,  3 persons,  4 persons,  5 or more persons,    Employed,    Unemployed,"Under $50,000","$50,000 - $100,000","$100,000 and over","$200,000 and over",Post Secondary Degree,Bachelor level or above,"  No certificate, diploma or degree-NO EDU",  Secondary (high) school diploma or equivalency certificate- HIGH SCHOOL EDU,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification- TRADE CERTIF
1,City of Toronto,,344110.0,174600.0,143250.0,56795.0,1361375.0,122305.0,386930.0,342375.0,343520.0,96600.0,468040.0,1424440.0,377340.0,561090.0,53060.0
2,Agincourt North,129.0,3570.0,2390.0,1875.0,605.0,12510.0,1360.0,3310.0,3175.0,2505.0,325.0,4690.0,10480.0,6550.0,7460.0,505.0
3,Agincourt South-Malvern West,128.0,2970.0,1835.0,1325.0,520.0,10855.0,1185.0,2975.0,2925.0,2030.0,285.0,4130.0,10255.0,4035.0,6090.0,375.0
4,Alderwood,20.0,1605.0,900.0,755.0,220.0,6405.0,415.0,1240.0,1480.0,1915.0,360.0,2670.0,4075.0,2005.0,2960.0,345.0
5,Annex,95.0,4475.0,1195.0,805.0,215.0,17305.0,1250.0,4970.0,4015.0,5895.0,2670.0,3580.0,26685.0,1585.0,4270.0,265.0
6,Banbury-Don Mills,42.0,3925.0,1760.0,1500.0,435.0,13010.0,1010.0,3435.0,3855.0,4615.0,1750.0,4630.0,18150.0,2295.0,5150.0,450.0
7,Bathurst Manor,34.0,1945.0,1115.0,925.0,320.0,8000.0,620.0,1930.0,1830.0,2025.0,515.0,2865.0,8530.0,1665.0,3390.0,345.0
8,Bay Street Corridor,76.0,3550.0,965.0,485.0,105.0,13455.0,1535.0,4985.0,3780.0,3600.0,1105.0,2240.0,24140.0,700.0,5740.0,155.0
9,Bayview Village,52.0,3255.0,1570.0,980.0,255.0,10965.0,910.0,2990.0,2935.0,3010.0,855.0,3750.0,16360.0,1310.0,3680.0,215.0
10,Bayview Woods-Steeles,49.0,1790.0,1005.0,790.0,210.0,5720.0,495.0,1450.0,1390.0,1830.0,580.0,2105.0,8590.0,1295.0,2385.0,255.0
11,Bedford Park-Nortown,39.0,2425.0,1190.0,1565.0,885.0,11185.0,650.0,1805.0,1860.0,4745.0,2915.0,2815.0,16005.0,1985.0,3815.0,310.0
12,Beechborough-Greenbrook,112.0,830.0,490.0,300.0,135.0,2765.0,355.0,1385.0,780.0,430.0,60.0,1330.0,1130.0,1605.0,1515.0,195.0
13,Bendale,127.0,3610.0,1915.0,1460.0,885.0,13020.0,1255.0,3850.0,3735.0,2625.0,275.0,5375.0,11270.0,4750.0,7605.0,590.0
14,Birchcliffe-Cliffside,122.0,2940.0,1430.0,1330.0,365.0,10945.0,1055.0,2980.0,2710.0,3345.0,930.0,4565.0,9005.0,2930.0,5245.0,435.0
