Characteristic,Neighbourhood Number,"Population, 2016","Population, 2011",Population Change 2011-2016, Average household size,  Married or living common law,  Not married and not living common law,  Total lone-parent families ,"  Under $5,000","  $5,000 to $9,999","  $10,000 to $14,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 and over","    $200,000 and over",  lowincome_18 to 64 years (%),   lowincome_ 0 to 5 years (%),Total_Low_income status in 2015 in household,  housing_Owner,  housing_Renter,Employment rate,Unemployment rate,"    No certificate, diploma or degree",   Secondary (high) school diploma or equivalency certificate,"   College, CEGEP or other non-university certificate or diploma",   University certificate or diploma below bachelor level,    Bachelor's degree,    Master's degree,    University certificate or diploma above bachelor level,"    Degree in medicine, dentistry, veterinary medicine or optometry",    Earned doctorate
City of Toronto,,"2,731,571","2,615,060",4.50%,2.42,"1,181,360","1,152,075","152,600","33,195","23,455","36,550","47,315","47,500","46,945","47,115","46,285","44,650","84,180","76,120","68,190","60,400","53,485","343,520","96,600",19.2,26.3,"2,691,665","587,095","525,835",59.3,8.2,377340,561090,362080,65015,534610,192120,54570,23540,30415
Agincourt North,129,"29,113","30,279",-3.90%,3.16,14200,11075,1655,155,105,160,320,540,420,455,420,435,800,700,635,525,515,"2,505",325,19.2,32.3,"28,820","7,395","1,720",50,9.8,6550,7460,3540,775,4380,890,295,125,115
Agincourt South-Malvern West,128,"23,757","21,988",8.00%,2.88,11205,9475,1365,315,140,195,315,400,370,385,370,415,770,645,595,510,405,"2,030",285,22.2,30.2,"23,470","5,890","2,250",53.2,9.8,4035,6090,3150,655,4210,1020,280,150,110
Alderwood,20,"12,054","11,904",1.30%,2.6,5735,4550,665,55,45,80,145,150,155,170,160,165,335,300,320,275,250,"1,915",360,7.9,8.8,"12,030","3,675",950,62.4,6.1,2005,2960,2095,230,1660,430,125,35,35
Annex,95,"30,526","29,177",4.60%,1.8,12275,15890,895,850,485,655,620,530,525,555,540,505,"1,000",900,795,715,605,"5,895","2,670",20.1,15,"28,640","6,060","9,870",65.8,6.7,1585,4270,2700,615,9135,4795,960,460,1210
Banbury-Don Mills,42,"27,695","26,918",2.90%,2.23,13240,10850,1245,265,155,235,395,445,405,470,460,400,930,885,780,655,605,"4,615","1,750",14,17.9,"26,995","7,390","4,735",55.6,7.2,2295,5150,3490,795,6500,2575,800,625,375
Bathurst Manor,34,"15,873","15,434",2.80%,2.56,7110,6440,875,130,85,155,245,230,220,255,240,245,400,430,390,310,300,"2,025",515,15.1,18.7,"15,575","3,285","2,800",60.3,7.2,1665,3390,2125,485,3075,1055,475,180,215
Bay Street Corridor,76,"25,797","19,348",33.30%,1.7,9305,14790,790,"2,510",735,740,580,560,490,515,440,410,850,840,815,705,570,"3,600","1,105",39.7,35.3,"25,605","4,835","10,245",56.2,10.2,700,5740,1595,545,8370,3810,680,1235,985
Bayview Village,52,"21,396","17,671",21.10%,2.22,10545,8440,1020,585,260,290,365,370,360,330,350,335,650,655,615,520,495,"3,010",855,24.7,26.2,"21,135","5,605","3,930",58.5,7.7,1310,3680,2905,700,6055,2360,515,475,365
Bayview Woods-Steeles,49,"13,154","13,530",-2.80%,2.7,6565,5075,690,90,70,80,200,170,205,180,200,165,330,290,265,255,250,"1,830",580,19.7,26,"12,660","2,720","1,985",51.3,8,1295,2385,1595,355,3060,1140,410,255,250
